"","wrf","collection_num","date","target","mean_copy_num_uL_rxn","mean_copy_num_L","sd_L","mean_total_copies","sd_total_copies"
"177","CC","67",2021-04-05,"N1",0.0199892267222222,356950.47718254,580394.976482565,2567287421079.96,4174362601061.04
"178","MI","67",2021-04-05,"N1",0.0133324892222222,238080.16468254,574426.743697214,3145296316306.36,7588798182107.46
"179","NO","67",2021-04-05,"N1",0.0378860413333333,676536.452380952,1648420.92307327,12779229582514.8,31137345741589.8
"180","CC","68",2021-04-07,"N1",0.0819379869444444,1463178.33829365,1728799.34474602,9914326545272.7,11714143646395.1
"181","MI","68",2021-04-07,"N1",0.0171755142222222,306705.611111111,742524.070817916,3982252251631.46,9640900087197.93
"182","NO","68",2021-04-07,"N1",2e-04,3571.42857142857,0,72193176428.5714,0
"183","CC","69",2021-04-12,"N1",2e-04,3571.42857142857,0,24469971785.7143,0
"184","MI","69",2021-04-12,"N1",0.00758758222222222,135492.53968254,323139.408523227,1887452917874.03,4501431746177.9
"185","NO","69",2021-04-12,"N1",2e-04,3571.42857142857,0,73004335714.2857,0
"186","CC","70",2021-04-14,"N1",0.186959320277778,3338559.2906746,6205747.57722049,23253580933103.1,43223990042766.7
"187","MI","70",2021-04-14,"N1",0.106453423777778,1900953.99603175,3184886.76095305,24466026904803,40990747458849.5
"188","NO","70",2021-04-14,"N1",0.119910627666667,2141261.20833333,3651207.79116538,46201644066631.4,78781515363105.5
"189","CC","71",2021-04-19,"N1",2e-04,3571.42857142857,0,24740358214.2857,0
"190","MI","71",2021-04-19,"N2",0.00242729072222222,43344.4771825397,97423.6746121334,559501265237.011,1257568962707.09
"191","NO","71",2021-04-19,"N1",2e-04,3571.42857142857,0,70030085000,0
"192","CC","72",2021-04-21,"N1",0.130911777444444,2337710.31150794,4804364.31092125,15397594063096.4,31644490348795.7
"193","MI","72",2021-04-21,"N2",0.353267611333333,6308350.20238095,11165174.9917114,79996967997642.8,141586962969003
"194","NO","72",2021-04-21,"N2",0.00959509566666667,171340.994047619,260117.513919489,3632137108755.67,5514048054849.45
