sample_id,target,ct
CC_38_B,N2,40
NO_38_C,N2,40
NO_38_C,N2,40
NO_38_C,N2,40
CC_38_C,N2,40
MI_38_A,N2,40
MI_38_B,N2,40
MI_38_B,N2,40
MI_38_C,N2,40
MI_38_C,N2,40
NO_38_A,N2,40
NO_38_A,N2,40
CC_39_C,N2,34.43560028
CC_39_A,N2,35.71459198
CC_39_B,N2,35.8446312
CC_39_C,N2,35.84744263
MI_39_B,N2,35.95963669
CC_39_A,N2,36.03458405
NO_39_B,N2,36.09857941
CC_39_B,N2,36.11907196
MI_39_C,N2,37.07552719
NO_39_A,N2,40
NO_39_A,N2,40
NO_39_A,N2,40
CC_39_A,N2,40
NO_39_B,N2,40
NO_39_B,N2,40
CC_39_B,N2,40
NO_39_C,N2,40
NO_39_C,N2,40
NO_39_C,N2,40
CC_39_C,N2,40
MI_39_A,N2,40
MI_39_A,N2,40
MI_39_A,N2,40
MI_39_B,N2,40
MI_39_B,N2,40
MI_39_C,N2,40
MI_39_C,N2,40
MI_41_C,N2,34.50487137
MI_41_B,N2,34.5471611
MI_41_A,N2,34.75113678
CC_41_C,N2,34.79253387
NO_41_A,N2,35.46365356
NO_41_C,N2,35.5649147
CC_41_A,N2,35.58143616
NO_41_C,N2,35.87412643
CC_41_A,N2,36.54535294
MI_41_B,N2,37.05583954
NO_41_A,N2,40
NO_41_A,N2,40
CC_41_A,N2,40
NO_41_B,N2,40
NO_41_B,N2,40
NO_41_B,N2,40
CC_41_B,N2,40
CC_41_B,N2,40
CC_41_B,N2,40
NO_41_C,N2,40
CC_41_C,N2,40
CC_41_C,N2,40
MI_41_A,N2,40
MI_41_A,N2,40
MI_41_B,N2,40
MI_41_C,N2,40
MI_41_C,N2,40
NO_42_A,N2,34.43308258
NO_42_B,N2,34.44949341
MI_42_B,N2,34.85616684
NO_42_A,N2,35.7204628
CC_42_B,N2,35.79983902
CC_42_C,N2,35.92697906
MI_42_C,N2,36.81893921
MI_42_A,N2,36.93911362
NO_42_B,N2,37.08094788
NO_42_A,N2,40
CC_42_A,N2,40
CC_42_A,N2,40
CC_42_A,N2,40
NO_42_B,N2,40
CC_42_B,N2,40
CC_42_B,N2,40
NO_42_C,N2,40
NO_42_C,N2,40
NO_42_C,N2,40
CC_42_C,N2,40
CC_42_C,N2,40
