run_date,run_num,sample_date,collection_num,sample_id,target,ct,slope ,y-intercept,copy_num_uL_rxn
19-Aug-20,22,18-Aug-20,14,MI_14_B,N2,37.01802826,-3.3084,32.416,0.040643092
19-Aug-20,22,18-Aug-20,14,NO_14_A,N2,37.00615311,-3.3084,32.416,0.040980395
19-Aug-20,22,18-Aug-20,14,NO_14_B,N2,36.97654343,-3.3084,32.416,0.041833672
19-Aug-20,22,18-Aug-20,14,MI_14_B,N2,36.97154236,-3.3084,32.416,0.041979534
19-Aug-20,22,18-Aug-20,14,NO_14_B,N2,36.95197678,-3.3084,32.416,0.042555091
19-Aug-20,22,18-Aug-20,14,MI_14_A,N2,36.07876205,-3.3084,32.416,0.078143022
28-Oct-20,37,18-Aug-20,14,CC_14_B,N2,35.92063141,-3.3084,32.416,0.087234227
28-Oct-20,37,18-Aug-20,14,CC_14_B,N2,35.86466217,-3.3084,32.416,0.090699361
28-Oct-20,37,18-Aug-20,14,CC_14_A,N2,35.85482407,-3.3084,32.416,0.091322523
28-Oct-20,37,18-Aug-20,14,CC_14_B,N2,35.65394592,-3.3084,32.416,0.105025683
26-Aug-20,23,25-Aug-20,15,MI_15_A,N2,Undetermined,-3.3084,32.416,0.0002
26-Aug-20,23,25-Aug-20,15,MI_15_A,N2,Undetermined,-3.3084,32.416,0.0002
26-Aug-20,23,25-Aug-20,15,MI_15_A,N2,Undetermined,-3.3084,32.416,0.0002
26-Aug-20,23,25-Aug-20,15,MI_15_B,N2,Undetermined,-3.3084,32.416,0.0002
26-Aug-20,23,25-Aug-20,15,MI_15_B,N2,Undetermined,-3.3084,32.416,0.0002
26-Aug-20,23,25-Aug-20,15,NO_15_A,N2,Undetermined,-3.3084,32.416,0.0002
26-Aug-20,23,25-Aug-20,15,NO_15_A,N2,Undetermined,-3.3084,32.416,0.0002
26-Aug-20,23,25-Aug-20,15,NO_15_B,N2,Undetermined,-3.3084,32.416,0.0002
26-Aug-20,23,25-Aug-20,15,NO_15_B,N2,Undetermined,-3.3084,32.416,0.0002
26-Aug-20,23,25-Aug-20,15,NO_15_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,25-Aug-20,15,CC_15_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,25-Aug-20,15,CC_15_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,25-Aug-20,15,CC_15_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,25-Aug-20,15,CC_15_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,25-Aug-20,15,CC_15_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,25-Aug-20,15,CC_15_B,N2,37.05305862,-3.3084,32.416,0.039664176
26-Aug-20,23,25-Aug-20,15,MI_15_B,N2,37.00814438,-3.3084,32.416,0.04092364
26-Aug-20,23,25-Aug-20,15,NO_15_A,N2,36.51285553,-3.3084,32.416,0.05776712
2-Sep-20,24,1-Sep-20,16,MI_16_A,N2,Undetermined,-3.3084,32.416,0.0002
2-Sep-20,24,1-Sep-20,16,MI_16_A,N2,Undetermined,-3.3084,32.416,0.0002
2-Sep-20,24,1-Sep-20,16,MI_16_B,N2,Undetermined,-3.3084,32.416,0.0002
2-Sep-20,24,1-Sep-20,16,MI_16_B,N2,Undetermined,-3.3084,32.416,0.0002
2-Sep-20,24,1-Sep-20,16,NO_16_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,1-Sep-20,16,CC_16_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,1-Sep-20,16,CC_16_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,1-Sep-20,16,CC_16_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,1-Sep-20,16,CC_16_B,N2,Undetermined,-3.3084,32.416,0.0002
2-Sep-20,24,1-Sep-20,16,NO_16_A,N2,37.07648087,-3.3084,32.416,0.039022834
2-Sep-20,24,1-Sep-20,16,NO_16_A,N2,36.31856155,-3.3084,32.416,0.066131472
2-Sep-20,24,1-Sep-20,16,NO_16_B,N2,36.29591751,-3.3084,32.416,0.067181949
2-Sep-20,24,1-Sep-20,16,MI_16_A,N2,35.99620819,-3.3084,32.416,0.082764293
28-Oct-20,37,1-Sep-20,16,CC_16_A,N2,35.86688995,-3.3084,32.416,0.090558841
28-Oct-20,37,1-Sep-20,16,CC_16_B,N2,35.66923141,-3.3084,32.416,0.103914298
2-Sep-20,24,1-Sep-20,16,MI_16_B,N2,35.54123688,-3.3084,32.416,0.113596003
2-Sep-20,24,1-Sep-20,16,NO_16_A,N2,35.01486206,-3.3084,32.416,0.163857221
2-Sep-20,24,1-Sep-20,16,NO_16_B,N2,34.3060379,-3.3084,32.416,0.268358541
10-Sep-20,26,8-Sep-20,17,MI_17_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,8-Sep-20,17,CC_17_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,8-Sep-20,17,CC_17_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,8-Sep-20,17,CC_17_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,8-Sep-20,17,CC_17_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,8-Sep-20,17,CC_17_B,N2,Undetermined,-3.3084,32.416,0.0002
10-Sep-20,26,8-Sep-20,17,MI_17_A,N2,37.04123306,-3.3084,32.416,0.039991974
10-Sep-20,26,8-Sep-20,17,MI_17_B,N2,36.94585037,-3.3084,32.416,0.042736928
10-Sep-20,26,8-Sep-20,17,NO_17_B,N2,36.70161438,-3.3084,32.416,0.050655463
10-Sep-20,26,8-Sep-20,17,NO_17_A,N2,36.65527725,-3.3084,32.416,0.052315718
10-Sep-20,26,8-Sep-20,17,MI_17_B,N2,36.06287766,-3.3084,32.416,0.079011705
10-Sep-20,26,8-Sep-20,17,NO_17_A,N2,35.95957947,-3.3084,32.416,0.084901319
10-Sep-20,26,8-Sep-20,17,NO_17_B,N2,35.80091476,-3.3084,32.416,0.094814024
28-Oct-20,37,8-Sep-20,17,CC_17_A,N2,35.6877327,-3.3084,32.416,0.102584818
10-Sep-20,26,8-Sep-20,17,MI_17_B,N2,35.35771942,-3.3084,32.416,0.129072347
10-Sep-20,26,8-Sep-20,17,MI_17_A,N2,35.30540085,-3.3084,32.416,0.133858842
10-Sep-20,26,8-Sep-20,17,NO_17_A,N2,35.19487381,-3.3084,32.416,0.144562307
10-Sep-20,26,8-Sep-20,17,NO_17_B,N2,35.15188599,-3.3084,32.416,0.148952778
17-Sep-20,27,15-Sep-20,18,MI_18_A,N2,Undetermined,-3.3084,32.416,0.0002
17-Sep-20,27,15-Sep-20,18,MI_18_A,N2,Undetermined,-3.3084,32.416,0.0002
17-Sep-20,27,15-Sep-20,18,MI_18_A,N2,Undetermined,-3.3084,32.416,0.0002
17-Sep-20,27,15-Sep-20,18,MI_18_B,N2,Undetermined,-3.3084,32.416,0.0002
17-Sep-20,27,15-Sep-20,18,MI_18_B,N2,Undetermined,-3.3084,32.416,0.0002
17-Sep-20,27,15-Sep-20,18,NO_18_A,N2,Undetermined,-3.3084,32.416,0.0002
17-Sep-20,27,15-Sep-20,18,NO_18_B,N2,Undetermined,-3.3084,32.416,0.0002
18-Sep-20,28,15-Sep-20,18,MI_18_C,N2,Undetermined,-3.3084,32.416,0.0002
18-Sep-20,28,15-Sep-20,18,MI_18_D,N2,Undetermined,-3.3084,32.416,0.0002
18-Sep-20,28,15-Sep-20,18,NO_18_C,N2,Undetermined,-3.3084,32.416,0.0002
18-Sep-20,28,15-Sep-20,18,NO_18_C,N2,Undetermined,-3.3084,32.416,0.0002
18-Sep-20,28,15-Sep-20,18,NO_18_C,N2,Undetermined,-3.3084,32.416,0.0002
18-Sep-20,28,15-Sep-20,18,NO_18_D,N2,Undetermined,-3.3084,32.416,0.0002
18-Sep-20,28,15-Sep-20,18,NO_18_D,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,15-Sep-20,18,CC_18_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,15-Sep-20,18,CC_18_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,15-Sep-20,18,CC_18_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,15-Sep-20,18,CC_18_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,15-Sep-20,18,CC_18_B,N2,Undetermined,-3.3084,32.416,0.0002
18-Sep-20,28,15-Sep-20,18,MI_18_C,N2,37.08827972,-3.3084,32.416,0.038703699
17-Sep-20,27,15-Sep-20,18,NO_18_A,N2,37.03889084,-3.3084,32.416,0.04005722
18-Sep-20,28,15-Sep-20,18,NO_18_D,N2,37.01213837,-3.3084,32.416,0.040810041
17-Sep-20,27,15-Sep-20,18,MI_18_B,N2,36.73039627,-3.3084,32.416,0.049650846
17-Sep-20,27,15-Sep-20,18,NO_18_B,N2,36.00004578,-3.3084,32.416,0.082543533
17-Sep-20,27,15-Sep-20,18,NO_18_B,N2,35.9205513,-3.3084,32.416,0.08723909
18-Sep-20,28,15-Sep-20,18,MI_18_C,N2,35.34418488,-3.3084,32.416,0.130293926
17-Sep-20,27,15-Sep-20,18,NO_18_A,N2,34.95148849,-3.3084,32.416,0.171246198
18-Sep-20,28,15-Sep-20,18,MI_18_D,N2,34.94671249,-3.3084,32.416,0.171816369
18-Sep-20,28,15-Sep-20,18,MI_18_D,N2,34.80519485,-3.3084,32.416,0.189600635
28-Oct-20,37,15-Sep-20,18,CC_18_B,N2,34.80220795,-3.3084,32.416,0.189995191
23-Sep-20,29,22-Sep-20,19,MI_19_A,N2,Undetermined,-3.3084,32.416,0.0002
23-Sep-20,29,22-Sep-20,19,MI_19_A,N2,Undetermined,-3.3084,32.416,0.0002
23-Sep-20,29,22-Sep-20,19,MI_19_A,N2,Undetermined,-3.3084,32.416,0.0002
23-Sep-20,29,22-Sep-20,19,MI_19_B,N2,Undetermined,-3.3084,32.416,0.0002
23-Sep-20,29,22-Sep-20,19,NO_19_A,N2,Undetermined,-3.3084,32.416,0.0002
23-Sep-20,29,22-Sep-20,19,NO_19_A,N2,Undetermined,-3.3084,32.416,0.0002
23-Sep-20,29,22-Sep-20,19,NO_19_B,N2,Undetermined,-3.3084,32.416,0.0002
23-Sep-20,29,22-Sep-20,19,NO_19_B,N2,Undetermined,-3.3084,32.416,0.0002
26-Sep-20,30,22-Sep-20,19,MI_19_A,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,MI_19_B,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,MI_19_B,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,NO_19_A,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,NO_19_A,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,NO_19_B,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,NO_19_B,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,NO_19_B,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,CC_19_A,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,CC_19_A,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,CC_19_A,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,CC_19_B,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,CC_19_B,N2,Undetermined,-3.3084,32.416,0.0002
25-Sep-20,30,22-Sep-20,19,CC_19_B,N2,Undetermined,-3.3084,32.416,0.0002
23-Sep-20,29,22-Sep-20,19,NO_19_B,N2,37.10762787,-3.3084,32.416,0.03818601
25-Sep-20,30,22-Sep-20,19,MI_19_B,N2,37.07063293,-3.3084,32.416,0.039181983
